Person ID,First name,Last name,Party,Division,URI
11023,Basem,Abdo,Australian Labor Party,Calwell,https://www.openaustralia.org.au/mp/basem_abdo/calwell
10007,Anthony,Albanese,Australian Labor Party,Grayndler,https://www.openaustralia.org.au/mp/anthony_albanese/grayndler
11024,Mary,Aldred,Liberal Party,Monash,https://www.openaustralia.org.au/mp/mary_aldred/monash
10863,Anne,Aly,Australian Labor Party,Cowan,https://www.openaustralia.org.au/mp/anne_aly/cowan
11025,Ash,Ambihaipahar,Australian Labor Party,Barton,https://www.openaustralia.org.au/mp/ash_ambihaipahar/barton
11026,David,Batt,Liberal National Party,Hinkler,https://www.openaustralia.org.au/mp/david_batt/hinkler
10936,Angie,Bell,Liberal National Party,Moncrieff,https://www.openaustralia.org.au/mp/angie_bell/moncrieff
11018,Jodie,Belyea,Australian Labor Party,Dunkley,https://www.openaustralia.org.au/mp/jodie_belyea/dunkley
11027,Carol,Berry,Australian Labor Party,Whitlam,https://www.openaustralia.org.au/mp/carol_berry/whitlam
10991,Sam,Birrell,National Party,Nicholls,https://www.openaustralia.org.au/mp/sam_birrell/nicholls
11028,Nicolette,Boele,Independent,Bradfield,https://www.openaustralia.org.au/mp/nicolette_boele/bradfield
10060,Chris,Bowen,Australian Labor Party,McMahon,https://www.openaustralia.org.au/mp/chris_bowen/mcmahon
10977,Colin,Boyce,Liberal National Party,Flynn,https://www.openaustralia.org.au/mp/colin_boyce/flynn
11029,Jo,Briskey,Australian Labor Party,Maribyrnong,https://www.openaustralia.org.au/mp/jo_briskey/maribyrnong
10752,Scott,Buchholz,Liberal Party,Wright,https://www.openaustralia.org.au/mp/scott_buchholz/wright
10081,Tony,Burke,Australian Labor Party,Watson,https://www.openaustralia.org.au/mp/tony_burke/watson
10998,Matt,Burnell,Australian Labor Party,Spence,https://www.openaustralia.org.au/mp/matt_burnell/spence
10934,Josh,Burns,Australian Labor Party,Macnamara,https://www.openaustralia.org.au/mp/josh_burns/macnamara
10086,Mark,Butler,Australian Labor Party,Hindmarsh,https://www.openaustralia.org.au/mp/mark_butler/hindmarsh
10973,Alison,Byrnes,Australian Labor Party,Cunningham,https://www.openaustralia.org.au/mp/alison_byrnes/cunningham
11016,Cameron,Caldwell,Liberal National Party,Fadden,https://www.openaustralia.org.au/mp/cameron_caldwell/fadden
11031,Julie-Ann,Campbell,Australian Labor Party,Moreton,https://www.openaustralia.org.au/mp/julie-ann_campbell/moreton
11032,Jamie,Chaffey,National Party,Parkes,https://www.openaustralia.org.au/mp/jamie_chaffey/parkes
10809,Jim,Chalmers,Australian Labor Party,Rankin,https://www.openaustralia.org.au/mp/jim_chalmers/rankin
10974,Kate,Chaney,Independent,Curtin,https://www.openaustralia.org.au/mp/kate_chaney/curtin
10993,Andrew,Charlton,Australian Labor Party,Parramatta,https://www.openaustralia.org.au/mp/andrew_charlton/parramatta
10703,Darren,Chester,National Party,Gippsland,https://www.openaustralia.org.au/mp/darren_chester/gippsland
10787,Lisa,Chesters,Australian Labor Party,Bendigo,https://www.openaustralia.org.au/mp/lisa_chesters/bendigo
10123,Jason,Clare,Australian Labor Party,Blaxland,https://www.openaustralia.org.au/mp/jason_clare/blaxland
10805,Sharon,Claydon,Australian Labor Party,Newcastle,https://www.openaustralia.org.au/mp/sharon_claydon/newcastle
11033,Claire,Clutterham,Australian Labor Party,Sturt,https://www.openaustralia.org.au/mp/claire_clutterham/sturt
11034,Renee,Coffey,Australian Labor Party,Griffith,https://www.openaustralia.org.au/mp/renee_coffey/griffith
10921,Libby,Coker,Australian Labor Party,Corangamite,https://www.openaustralia.org.au/mp/libby_coker/corangamite
10136,Julie,Collins,Australian Labor Party,Franklin,https://www.openaustralia.org.au/mp/julie_collins/franklin
11035,Emma,Comer,Australian Labor Party,Petrie,https://www.openaustralia.org.au/mp/emma_comer/petrie
10922,Pat,Conaghan,National Party,Cowper,https://www.openaustralia.org.au/mp/pat_conaghan/cowper
10813,Pat,Conroy,Australian Labor Party,Shortland,https://www.openaustralia.org.au/mp/pat_conroy/shortland
11036,Kara,Cook,Australian Labor Party,Bonner,https://www.openaustralia.org.au/mp/kara_cook/bonner
11037,Trish,Cook,Australian Labor Party,Bullwinkel,https://www.openaustralia.org.au/mp/trish_cook/bullwinkel
10880,Milton,Dick,-,Oxley,https://www.openaustralia.org.au/mp/milton_dick/oxley
11015,Mary,Doyle,Australian Labor Party,Aston,https://www.openaustralia.org.au/mp/mary_doyle/aston
10181,Mark,Dreyfus,Australian Labor Party,Isaacs,https://www.openaustralia.org.au/mp/mark_dreyfus/isaacs
10195,Justine,Elliot,Australian Labor Party,Richmond,https://www.openaustralia.org.au/mp/justine_elliot/richmond
11063,David,Farley,Pauline Hanson's One Nation Party,Farrer,https://www.openaustralia.org.au/mp/david_farley/farrer
